Date_of_Usage,Region,Service_Type,Demand_Units,Capacity_Allocated,Cost_USD,Service_Availability_Percent,Economic_Activity_Index,Year,Month,Utilization_Ratio
2024-01-01,East US,Compute,2098.0,2412.0,12588.0,99.902,101.75,2024,1,0.8698175787728026
2024-01-01,East US,Storage,1062.0,1221.0,4779.0,99.917,101.75,2024,1,0.8697788697788698
2024-01-02,East US,Compute,2020.0,2323.0,12120.0,99.955,101.98,2024,1,0.8695652173913043
2024-01-02,East US,Storage,1097.0,1261.0,4936.5,99.915,101.98,2024,1,0.8699444885011896
2024-01-03,East US,Compute,2107.0,2423.0,12642.0,99.987,101.49,2024,1,0.8695831613702022
2024-01-03,East US,Storage,1102.0,1267.0,4959.0,99.983,101.49,2024,1,0.8697711128650355
2024-01-04,East US,Compute,2013.0,2314.0,12078.0,99.9,100.71,2024,1,0.8699222126188418
2024-01-04,East US,Storage,1122.0,1290.0,5049.0,99.973,100.71,2024,1,0.8697674418604651
2024-01-05,East US,Compute,2002.0,2302.0,12012.0,99.98,101.08,2024,1,0.8696785403996524
2024-01-05,East US,Storage,1040.0,1196.0,4680.0,99.964,101.08,2024,1,0.8695652173913043
2024-01-06,East US,Compute,2036.0,2341.0,12216.0,99.937,101.67,2024,1,0.8697137975224263
2024-01-06,East US,Storage,1109.0,1275.0,4990.5,99.968,101.67,2024,1,0.8698039215686274
2024-01-07,East US,Compute,2029.0,2333.0,12174.0,99.974,101.96,2024,1,0.8696956708101158
2024-01-07,East US,Storage,959.0,1102.0,4315.5,99.92,101.96,2024,1,0.8702359346642469
2024-01-08,East US,Compute,2050.0,2357.0,12300.0,99.905,101.42,2024,1,0.8697496817988969
2024-01-08,East US,Storage,1215.0,1397.0,5467.5,99.925,101.42,2024,1,0.8697208303507517
2024-01-09,East US,Compute,2051.0,2358.0,12306.0,99.929,102.07,2024,1,0.86980491942324
2024-01-09,East US,Storage,1177.0,1353.0,5296.5,99.901,102.07,2024,1,0.8699186991869918
2024-01-10,East US,Compute,2088.0,2401.0,12528.0,99.974,100.89,2024,1,0.8696376509787589
2024-01-10,East US,Storage,1030.0,1184.0,4635.0,99.95,100.89,2024,1,0.8699324324324325
2024-01-11,East US,Compute,2108.0,2424.0,12648.0,99.915,101.63,2024,1,0.8696369636963697
2024-01-11,East US,Storage,1103.0,1268.0,4963.5,99.901,101.63,2024,1,0.8698738170347003
2024-01-12,East US,Compute,2088.0,2401.0,12528.0,99.908,100.89,2024,1,0.8696376509787589
2024-01-12,East US,Storage,1186.0,1363.0,5337.0,99.933,100.89,2024,1,0.8701393983859135
2024-01-13,East US,Compute,2096.0,2410.0,12576.0,99.958,101.64,2024,1,0.8697095435684647
2024-01-13,East US,Storage,1085.0,1247.0,4882.5,99.987,101.64,2024,1,0.8700882117080995
2024-01-14,East US,Compute,2050.0,2357.0,12300.0,99.979,101.89,2024,1,0.8697496817988969
2024-01-14,East US,Storage,1034.0,1189.0,4653.0,99.967,101.89,2024,1,0.8696383515559294
2024-01-15,East US,Compute,2096.0,2410.0,12576.0,99.98,101.76,2024,1,0.8697095435684647
2024-01-15,East US,Storage,1034.0,1189.0,4653.0,99.908,101.76,2024,1,0.8696383515559294
2024-01-16,East US,Compute,2011.0,2312.0,12066.0,99.956,101.23,2024,1,0.8698096885813149
2024-01-16,East US,Storage,1125.0,1293.0,5062.5,99.908,101.23,2024,1,0.8700696055684455
2024-01-17,East US,Compute,2130.0,2449.0,12780.0,99.914,100.49,2024,1,0.8697427521437321
2024-01-17,East US,Storage,1107.0,1273.0,4981.5,99.964,100.49,2024,1,0.8695993715632364
2024-01-18,East US,Compute,1885.0,2167.0,11310.0,99.916,102.33,2024,1,0.8698661744347024
2024-01-18,East US,Storage,1040.0,1196.0,4680.0,99.939,102.33,2024,1,0.8695652173913043
2024-01-19,East US,Compute,2050.0,2357.0,12300.0,99.985,102.22,2024,1,0.8697496817988969
2024-01-19,East US,Storage,997.0,1146.0,4486.5,99.958,102.22,2024,1,0.8699825479930192
2024-01-20,East US,Compute,2092.0,2405.0,12552.0,99.966,101.54,2024,1,0.8698544698544699
2024-01-20,East US,Storage,1107.0,1273.0,4981.5,99.972,101.54,2024,1,0.8695993715632364
2024-01-21,East US,Compute,2025.0,2328.0,12150.0,99.909,101.49,2024,1,0.8698453608247423
2024-01-21,East US,Storage,1092.0,1255.0,4914.0,99.974,101.49,2024,1,0.8701195219123506
2024-01-22,East US,Compute,2105.0,2420.0,12630.0,99.971,101.93,2024,1,0.8698347107438017
2024-01-22,East US,Storage,1131.0,1300.0,5089.5,99.971,101.93,2024,1,0.87
2024-01-23,East US,Compute,2057.0,2365.0,12342.0,99.964,101.99,2024,1,0.8697674418604651
2024-01-23,East US,Storage,1149.0,1321.0,5170.5,99.985,101.99,2024,1,0.8697956093868282
2024-01-24,East US,Compute,2063.0,2372.0,12378.0,99.967,102.18,2024,1,0.8697301854974705
2024-01-24,East US,Storage,1050.0,1207.0,4725.0,99.953,102.18,2024,1,0.8699254349627175
2024-01-25,East US,Compute,2032.5,2461.0,12195.0,99.94402676056336,102.18,2024,1,0.8258837870784234
2024-01-25,East US,Storage,1086.0,1248.0,4887.0,99.956,101.61,2024,1,0.8701923076923077
2024-01-26,East US,Compute,2002.0,2302.0,12012.0,99.982,100.82,2024,1,0.8696785403996524
2024-01-26,East US,Storage,1116.0,1283.0,5022.0,99.974,100.82,2024,1,0.8698363211223694
2024-01-27,East US,Compute,2061.0,2370.0,12366.0,99.937,102.09,2024,1,0.8696202531645569
2024-01-27,East US,Storage,1086.0,1248.0,4887.0,99.978,102.09,2024,1,0.8701923076923077
2024-01-28,East US,Compute,1970.0,2265.0,11820.0,99.91,101.66,2024,1,0.869757174392936
2024-01-28,East US,Storage,1155.0,1328.0,5197.5,99.96,101.66,2024,1,0.8697289156626506
2024-01-29,East US,Compute,2091.0,2404.0,12546.0,99.912,102.53,2024,1,0.8698003327787022
2024-01-29,East US,Storage,1005.0,1155.0,4522.5,99.939,102.53,2024,1,0.8701298701298701
2024-01-30,East US,Compute,1944.0,2235.0,11664.0,99.957,100.41,2024,1,0.8697986577181208
2024-01-30,East US,Storage,1087.0,1250.0,4891.5,99.922,100.41,2024,1,0.8696
2024-01-31,East US,Compute,2019.0,2321.0,12114.0,99.911,101.47,2024,1,0.8698836708315382
2024-01-31,East US,Storage,1020.0,1173.0,4590.0,99.933,101.47,2024,1,0.8695652173913043
2024-02-01,East US,Compute,2092.0,2405.0,12552.0,99.933,102.62,2024,2,0.8698544698544699
2024-02-01,East US,Storage,1101.0,1266.0,4954.5,99.944,102.62,2024,2,0.8696682464454977
2024-02-02,East US,Compute,2073.0,2383.0,12438.0,99.902,102.89,2024,2,0.8699118757868234
2024-02-02,East US,Storage,1077.0,1238.0,4846.5,99.929,102.89,2024,2,0.869951534733441
2024-02-03,East US,Compute,2075.0,2386.0,12450.0,99.958,103.05,2024,2,0.8696563285834031
2024-02-03,East US,Storage,1060.0,1219.0,4770.0,99.951,103.05,2024,2,0.8695652173913043
2024-02-04,East US,Compute,2153.0,2475.0,12918.0,99.91,102.27,2024,2,0.86989898989899
2024-02-04,East US,Storage,1149.0,1321.0,5170.5,99.978,102.27,2024,2,0.8697956093868282
2024-02-05,East US,Compute,2037.0,2342.0,12222.0,99.91,102.33,2024,2,0.8697694278394534
2024-02-05,East US,Storage,1132.0,1301.0,5094.0,99.955,102.33,2024,2,0.8700999231360492
2024-02-06,East US,Compute,2240.0,2576.0,13440.0,99.931,102.27,2024,2,0.8695652173913043
2024-02-06,East US,Storage,1138.0,1308.0,5121.0,99.916,102.27,2024,2,0.8700305810397554
2024-02-07,East US,Compute,2162.0,2486.0,12972.0,99.935,103.39,2024,2,0.8696701528559936
2024-02-07,East US,Storage,1113.0,1279.0,5008.5,99.973,103.39,2024,2,0.8702111024237685
2024-02-08,East US,Compute,2133.0,2452.0,12798.0,99.956,102.61,2024,2,0.8699021207177814
2024-02-08,East US,Storage,1086.0,1248.0,4887.0,99.971,102.61,2024,2,0.8701923076923077
2024-02-09,East US,Compute,2170.0,2495.0,13020.0,99.91,102.64,2024,2,0.8697394789579158
2024-02-09,East US,Storage,1104.0,1269.0,4968.0,99.976,102.64,2024,2,0.8699763593380615
2024-02-10,East US,Compute,2093.0,2406.0,12558.0,99.953,102.98,2024,2,0.8699085619285121
2024-02-10,East US,Storage,1085.0,1247.0,4882.5,99.985,102.98,2024,2,0.8700882117080995
2024-02-11,East US,Compute,2198.0,2527.0,13188.0,99.984,103.92,2024,2,0.8698060941828255
2024-02-11,East US,Storage,1104.0,1269.0,4968.0,99.983,103.92,2024,2,0.8699763593380615
2024-02-12,East US,Compute,2002.0,2302.0,12012.0,99.931,102.63,2024,2,0.8696785403996524
2024-02-12,East US,Storage,1193.0,1371.0,5368.5,99.941,102.63,2024,2,0.8701677607585704
2024-02-13,East US,Compute,2105.0,2420.0,12630.0,99.908,102.52,2024,2,0.8698347107438017
2024-02-13,East US,Storage,1074.0,1235.0,4833.0,99.99,102.52,2024,2,0.8696356275303644
