Date_of_Usage,Demand_Units,Capacity_Allocated,Cost_USD,Service_Availability_Percent,Economic_Activity_Index,Year,Month,Utilization_Ratio,Dayofweek,Dayofyear,Weekofyear,Is_Weekend,Demand_Units_Lag_1,Demand_Units_Lag_7,Demand_Units_Lag_30,Demand_Change,Usage_Spike,Region_South India,Region_Southeast Asia,Region_West Europe,Service_Type_Storage
2024-01-01,2098.0,2412.0,12588.0,99.902,101.75,2024,1,0.8698175787728026,0,1,1,False,,,,,False,False,False,False,False
2024-01-02,2020.0,2323.0,12120.0,99.955,101.98,2024,1,0.8695652173913043,1,2,1,False,2098.0,,,-78.0,False,False,False,False,False
2024-01-03,2107.0,2423.0,12642.0,99.987,101.49,2024,1,0.8695831613702022,2,3,1,False,2020.0,,,87.0,False,False,False,False,False
2024-01-04,2013.0,2314.0,12078.0,99.9,100.71,2024,1,0.8699222126188418,3,4,1,False,2107.0,,,-94.0,False,False,False,False,False
2024-01-05,2002.0,2302.0,12012.0,99.98,101.08,2024,1,0.8696785403996524,4,5,1,False,2013.0,,,-11.0,False,False,False,False,False
2024-01-06,2036.0,2341.0,12216.0,99.937,101.67,2024,1,0.8697137975224263,5,6,1,True,2002.0,,,34.0,False,False,False,False,False
2024-01-07,2029.0,2333.0,12174.0,99.974,101.96,2024,1,0.8696956708101158,6,7,1,True,2036.0,,,-7.0,False,False,False,False,False
2024-01-08,2050.0,2357.0,12300.0,99.905,101.42,2024,1,0.8697496817988969,0,8,2,False,2029.0,2098.0,,21.0,False,False,False,False,False
2024-01-09,2051.0,2358.0,12306.0,99.929,102.07,2024,1,0.86980491942324,1,9,2,False,2050.0,2020.0,,1.0,False,False,False,False,False
2024-01-10,2088.0,2401.0,12528.0,99.974,100.89,2024,1,0.8696376509787589,2,10,2,False,2051.0,2107.0,,37.0,False,False,False,False,False
2024-01-11,2108.0,2424.0,12648.0,99.915,101.63,2024,1,0.8696369636963697,3,11,2,False,2088.0,2013.0,,20.0,False,False,False,False,False
2024-01-12,2088.0,2401.0,12528.0,99.908,100.89,2024,1,0.8696376509787589,4,12,2,False,2108.0,2002.0,,-20.0,False,False,False,False,False
2024-01-13,2096.0,2410.0,12576.0,99.958,101.64,2024,1,0.8697095435684647,5,13,2,True,2088.0,2036.0,,8.0,False,False,False,False,False
2024-01-14,2050.0,2357.0,12300.0,99.979,101.89,2024,1,0.8697496817988969,6,14,2,True,2096.0,2029.0,,-46.0,False,False,False,False,False
2024-01-15,2096.0,2410.0,12576.0,99.98,101.76,2024,1,0.8697095435684647,0,15,3,False,2050.0,2050.0,,46.0,False,False,False,False,False
2024-01-16,2011.0,2312.0,12066.0,99.956,101.23,2024,1,0.8698096885813149,1,16,3,False,2096.0,2051.0,,-85.0,False,False,False,False,False
2024-01-17,2130.0,2449.0,12780.0,99.914,100.49,2024,1,0.8697427521437321,2,17,3,False,2011.0,2088.0,,119.0,False,False,False,False,False
2024-01-18,1885.0,2167.0,11310.0,99.916,102.33,2024,1,0.8698661744347024,3,18,3,False,2130.0,2108.0,,-245.0,True,False,False,False,False
2024-01-19,2050.0,2357.0,12300.0,99.985,102.22,2024,1,0.8697496817988969,4,19,3,False,1885.0,2088.0,,165.0,False,False,False,False,False
2024-01-20,2092.0,2405.0,12552.0,99.966,101.54,2024,1,0.8698544698544699,5,20,3,True,2050.0,2096.0,,42.0,False,False,False,False,False
2024-01-21,2025.0,2328.0,12150.0,99.909,101.49,2024,1,0.8698453608247423,6,21,3,True,2092.0,2050.0,,-67.0,False,False,False,False,False
2024-01-22,2105.0,2420.0,12630.0,99.971,101.93,2024,1,0.8698347107438017,0,22,4,False,2025.0,2096.0,,80.0,False,False,False,False,False
2024-01-23,2057.0,2365.0,12342.0,99.964,101.99,2024,1,0.8697674418604651,1,23,4,False,2105.0,2011.0,,-48.0,False,False,False,False,False
2024-01-24,2063.0,2372.0,12378.0,99.967,102.18,2024,1,0.8697301854974705,2,24,4,False,2057.0,2130.0,,6.0,False,False,False,False,False
2024-01-25,2032.5,2461.0,12195.0,99.94402676056336,102.18,2024,1,0.8258837870784234,3,25,4,False,2063.0,1885.0,,-30.5,False,False,False,False,False
2024-01-26,2002.0,2302.0,12012.0,99.982,100.82,2024,1,0.8696785403996524,4,26,4,False,2032.5,2050.0,,-30.5,False,False,False,False,False
2024-01-27,2061.0,2370.0,12366.0,99.937,102.09,2024,1,0.8696202531645569,5,27,4,True,2002.0,2092.0,,59.0,False,False,False,False,False
2024-01-28,1970.0,2265.0,11820.0,99.91,101.66,2024,1,0.869757174392936,6,28,4,True,2061.0,2025.0,,-91.0,False,False,False,False,False
2024-01-29,2091.0,2404.0,12546.0,99.912,102.53,2024,1,0.8698003327787022,0,29,5,False,1970.0,2105.0,,121.0,False,False,False,False,False
2024-01-30,1944.0,2235.0,11664.0,99.957,100.41,2024,1,0.8697986577181208,1,30,5,False,2091.0,2057.0,,-147.0,False,False,False,False,False
2024-01-31,2019.0,2321.0,12114.0,99.911,101.47,2024,1,0.8698836708315382,2,31,5,False,1944.0,2063.0,2098.0,75.0,False,False,False,False,False
2024-02-01,2092.0,2405.0,12552.0,99.933,102.62,2024,2,0.8698544698544699,3,32,5,False,2019.0,2032.5,2020.0,73.0,False,False,False,False,False
2024-02-02,2073.0,2383.0,12438.0,99.902,102.89,2024,2,0.8699118757868234,4,33,5,False,2092.0,2002.0,2107.0,-19.0,False,False,False,False,False
2024-02-03,2075.0,2386.0,12450.0,99.958,103.05,2024,2,0.8696563285834031,5,34,5,True,2073.0,2061.0,2013.0,2.0,False,False,False,False,False
2024-02-04,2153.0,2475.0,12918.0,99.91,102.27,2024,2,0.86989898989899,6,35,5,True,2075.0,1970.0,2002.0,78.0,False,False,False,False,False
2024-02-05,2037.0,2342.0,12222.0,99.91,102.33,2024,2,0.8697694278394534,0,36,6,False,2153.0,2091.0,2036.0,-116.0,False,False,False,False,False
2024-02-06,2240.0,2576.0,13440.0,99.931,102.27,2024,2,0.8695652173913043,1,37,6,False,2037.0,1944.0,2029.0,203.0,True,False,False,False,False
2024-02-07,2162.0,2486.0,12972.0,99.935,103.39,2024,2,0.8696701528559936,2,38,6,False,2240.0,2019.0,2050.0,-78.0,False,False,False,False,False
2024-02-08,2133.0,2452.0,12798.0,99.956,102.61,2024,2,0.8699021207177814,3,39,6,False,2162.0,2092.0,2051.0,-29.0,False,False,False,False,False
2024-02-09,2170.0,2495.0,13020.0,99.91,102.64,2024,2,0.8697394789579158,4,40,6,False,2133.0,2073.0,2088.0,37.0,False,False,False,False,False
2024-02-10,2093.0,2406.0,12558.0,99.953,102.98,2024,2,0.8699085619285121,5,41,6,True,2170.0,2075.0,2108.0,-77.0,False,False,False,False,False
2024-02-11,2198.0,2527.0,13188.0,99.984,103.92,2024,2,0.8698060941828255,6,42,6,True,2093.0,2153.0,2088.0,105.0,False,False,False,False,False
2024-02-12,2002.0,2302.0,12012.0,99.931,102.63,2024,2,0.8696785403996524,0,43,7,False,2198.0,2037.0,2096.0,-196.0,True,False,False,False,False
2024-02-13,2105.0,2420.0,12630.0,99.908,102.52,2024,2,0.8698347107438017,1,44,7,False,2002.0,2240.0,2050.0,103.0,False,False,False,False,False
2024-02-14,1985.0,2282.0,11910.0,99.936,102.7,2024,2,0.8698510078878177,2,45,7,False,2105.0,2162.0,2096.0,-120.0,False,False,False,False,False
2024-02-15,2154.0,2477.0,12924.0,99.902,102.86,2024,2,0.8696003229713363,3,46,7,False,1985.0,2133.0,2011.0,169.0,False,False,False,False,False
2024-02-16,2072.0,2382.0,12432.0,99.901,102.48,2024,2,0.869857262804366,4,47,7,False,2154.0,2170.0,2130.0,-82.0,False,False,False,False,False
2024-02-17,2091.0,2404.0,12546.0,99.978,102.19,2024,2,0.8698003327787022,5,48,7,True,2072.0,2093.0,1885.0,19.0,False,False,False,False,False
2024-02-18,2123.0,2441.0,12738.0,99.902,102.75,2024,2,0.8697255223269152,6,49,7,True,2091.0,2198.0,2050.0,32.0,False,False,False,False,False
2024-02-19,2144.0,2465.0,12864.0,99.907,102.86,2024,2,0.8697768762677485,0,50,8,False,2123.0,2002.0,2092.0,21.0,False,False,False,False,False
2024-02-20,2042.0,2348.0,12252.0,99.945,102.11,2024,2,0.8696763202725724,1,51,8,False,2144.0,2105.0,2025.0,-102.0,False,False,False,False,False
2024-02-21,2082.0,2394.0,12492.0,99.983,102.43,2024,2,0.8696741854636592,2,52,8,False,2042.0,1985.0,2105.0,40.0,False,False,False,False,False
2024-02-22,2115.0,2432.0,12690.0,99.985,102.79,2024,2,0.8696546052631579,3,53,8,False,2082.0,2154.0,2057.0,33.0,False,False,False,False,False
2024-02-23,2097.0,2411.0,12582.0,99.907,102.49,2024,2,0.8697635835752799,4,54,8,False,2115.0,2072.0,2063.0,-18.0,False,False,False,False,False
2024-02-24,2121.0,2439.0,12726.0,99.99,103.32,2024,2,0.8696186961869619,5,55,8,True,2097.0,2091.0,2032.5,24.0,False,False,False,False,False
2024-02-25,2068.0,2378.0,12408.0,99.904,102.76,2024,2,0.8696383515559294,6,56,8,True,2121.0,2123.0,2002.0,-53.0,False,False,False,False,False
2024-02-26,2199.0,2528.0,13194.0,99.921,103.09,2024,2,0.8698575949367089,0,57,9,False,2068.0,2144.0,2061.0,131.0,False,False,False,False,False
2024-02-27,2196.0,2525.0,13176.0,99.908,102.51,2024,2,0.8697029702970297,1,58,9,False,2199.0,2042.0,1970.0,-3.0,False,False,False,False,False
2024-02-28,2071.0,2381.0,12426.0,99.907,102.74,2024,2,0.8698026039479211,2,59,9,False,2196.0,2082.0,2091.0,-125.0,False,False,False,False,False
2024-02-29,2159.0,2482.0,12954.0,99.963,102.16,2024,2,0.8698630136986302,3,60,9,False,2071.0,2115.0,1944.0,88.0,False,False,False,False,False
2024-03-01,2145.0,2466.0,12870.0,99.956,102.92,2024,3,0.8698296836982968,4,61,9,False,2159.0,2097.0,2019.0,-14.0,False,False,False,False,False
2024-03-02,2122.0,2440.0,12732.0,99.927,103.11,2024,3,0.8696721311475409,5,62,9,True,2145.0,2121.0,2092.0,-23.0,False,False,False,False,False
